| end of split   1 /100 | epoch   1 | time: 980.92s | valid loss  1.67 | valid ppl     5.29 | learning rate 20.00
| end of split   2 /100 | epoch   1 | time: 999.76s | valid loss  1.49 | valid ppl     4.43 | learning rate 20.00
| end of split   3 /100 | epoch   1 | time: 991.48s | valid loss  1.38 | valid ppl     3.98 | learning rate 20.00
| end of split   4 /100 | epoch   1 | time: 989.93s | valid loss  1.33 | valid ppl     3.80 | learning rate 20.00
| end of split   5 /100 | epoch   1 | time: 983.88s | valid loss  1.31 | valid ppl     3.72 | learning rate 20.00
| end of split   6 /100 | epoch   1 | time: 983.44s | valid loss  1.30 | valid ppl     3.66 | learning rate 20.00
| end of split   7 /100 | epoch   1 | time: 997.06s | valid loss  1.28 | valid ppl     3.61 | learning rate 20.00
| end of split   8 /100 | epoch   1 | time: 152.92s | valid loss  1.35 | valid ppl     3.87 | learning rate 20.00
| end of split   9 /100 | epoch   1 | time: 997.44s | valid loss  1.26 | valid ppl     3.54 | learning rate 20.00
| end of split  10 /100 | epoch   1 | time: 987.51s | valid loss  1.26 | valid ppl     3.51 | learning rate 20.00
| end of split  11 /100 | epoch   1 | time: 991.39s | valid loss  1.25 | valid ppl     3.49 | learning rate 20.00
| end of split  12 /100 | epoch   1 | time: 986.47s | valid loss  1.23 | valid ppl     3.44 | learning rate 20.00
| end of split  13 /100 | epoch   1 | time: 989.55s | valid loss  1.23 | valid ppl     3.41 | learning rate 20.00
| end of split  14 /100 | epoch   1 | time: 981.25s | valid loss  1.23 | valid ppl     3.40 | learning rate 20.00
| end of split  15 /100 | epoch   1 | time: 991.28s | valid loss  1.22 | valid ppl     3.39 | learning rate 20.00
| end of split  16 /100 | epoch   1 | time: 983.07s | valid loss  1.22 | valid ppl     3.38 | learning rate 20.00
| end of split  17 /100 | epoch   1 | time: 997.05s | valid loss  1.21 | valid ppl     3.36 | learning rate 20.00
| end of split  18 /100 | epoch   1 | time: 981.70s | valid loss  1.20 | valid ppl     3.33 | learning rate 20.00
| end of split  19 /100 | epoch   1 | time: 982.78s | valid loss  1.20 | valid ppl     3.32 | learning rate 20.00
| end of split  20 /100 | epoch   1 | time: 981.63s | valid loss  1.20 | valid ppl     3.33 | learning rate 20.00
| end of split  21 /100 | epoch   1 | time: 981.94s | valid loss  1.19 | valid ppl     3.30 | learning rate 20.00
| end of split  22 /100 | epoch   1 | time: 1001.09s | valid loss  1.19 | valid ppl     3.29 | learning rate 20.00
| end of split  23 /100 | epoch   1 | time: 982.94s | valid loss  1.19 | valid ppl     3.27 | learning rate 20.00
| end of split  24 /100 | epoch   1 | time: 982.69s | valid loss  1.18 | valid ppl     3.26 | learning rate 20.00
| end of split  25 /100 | epoch   1 | time: 993.02s | valid loss  1.19 | valid ppl     3.28 | learning rate 20.00
| end of split  26 /100 | epoch   1 | time: 982.79s | valid loss  1.18 | valid ppl     3.24 | learning rate 20.00
| end of split  27 /100 | epoch   1 | time: 992.80s | valid loss  1.17 | valid ppl     3.24 | learning rate 20.00
| end of split  28 /100 | epoch   1 | time: 985.68s | valid loss  1.18 | valid ppl     3.25 | learning rate 20.00
| end of split  29 /100 | epoch   1 | time: 983.42s | valid loss  1.18 | valid ppl     3.26 | learning rate 20.00
| end of split  30 /100 | epoch   1 | time: 990.58s | valid loss  1.19 | valid ppl     3.29 | learning rate 20.00
| end of split  31 /100 | epoch   1 | time: 982.61s | valid loss  1.17 | valid ppl     3.23 | learning rate 20.00
| end of split  32 /100 | epoch   1 | time: 987.44s | valid loss  1.16 | valid ppl     3.20 | learning rate 20.00
| end of split  33 /100 | epoch   1 | time: 982.79s | valid loss  1.16 | valid ppl     3.19 | learning rate 20.00
| end of split  34 /100 | epoch   1 | time: 997.29s | valid loss  1.16 | valid ppl     3.20 | learning rate 20.00
| end of split  35 /100 | epoch   1 | time: 999.87s | valid loss  1.17 | valid ppl     3.22 | learning rate 20.00
| end of split  36 /100 | epoch   1 | time: 985.98s | valid loss  1.17 | valid ppl     3.22 | learning rate 20.00
| end of split  37 /100 | epoch   1 | time: 982.40s | valid loss  1.15 | valid ppl     3.17 | learning rate 20.00
| end of split  38 /100 | epoch   1 | time: 1001.37s | valid loss  1.15 | valid ppl     3.17 | learning rate 20.00
| end of split  39 /100 | epoch   1 | time: 995.67s | valid loss  1.15 | valid ppl     3.17 | learning rate 20.00
| end of split  40 /100 | epoch   1 | time: 981.46s | valid loss  1.15 | valid ppl     3.15 | learning rate 20.00
| end of split  41 /100 | epoch   1 | time: 981.31s | valid loss  1.15 | valid ppl     3.16 | learning rate 20.00
| end of split  42 /100 | epoch   1 | time: 997.25s | valid loss  1.15 | valid ppl     3.15 | learning rate 20.00
