| end of split   1 /100 | epoch   1 | time: 978.54s | valid loss  1.60 | valid ppl     4.95 | learning rate 20.00
| end of split   2 /100 | epoch   1 | time: 979.58s | valid loss  1.51 | valid ppl     4.51 | learning rate 20.00
| end of split   3 /100 | epoch   1 | time: 979.67s | valid loss  1.38 | valid ppl     3.96 | learning rate 20.00
| end of split   4 /100 | epoch   1 | time: 1008.24s | valid loss  1.34 | valid ppl     3.81 | learning rate 20.00
| end of split   5 /100 | epoch   1 | time: 979.04s | valid loss  1.36 | valid ppl     3.89 | learning rate 20.00
| end of split   6 /100 | epoch   1 | time: 1002.65s | valid loss  1.31 | valid ppl     3.71 | learning rate 20.00
| end of split   7 /100 | epoch   1 | time: 1004.54s | valid loss  1.27 | valid ppl     3.58 | learning rate 20.00
| end of split   8 /100 | epoch   1 | time: 999.73s | valid loss  1.27 | valid ppl     3.54 | learning rate 20.00
| end of split   9 /100 | epoch   1 | time: 979.40s | valid loss  1.26 | valid ppl     3.51 | learning rate 20.00
| end of split  10 /100 | epoch   1 | time: 992.59s | valid loss  1.26 | valid ppl     3.52 | learning rate 20.00
| end of split  11 /100 | epoch   1 | time: 1000.84s | valid loss  1.27 | valid ppl     3.54 | learning rate 20.00
| end of split  12 /100 | epoch   1 | time: 1001.09s | valid loss  1.23 | valid ppl     3.41 | learning rate 20.00
| end of split  13 /100 | epoch   1 | time: 982.85s | valid loss  1.23 | valid ppl     3.41 | learning rate 20.00
| end of split  14 /100 | epoch   1 | time: 994.46s | valid loss  1.22 | valid ppl     3.38 | learning rate 20.00
| end of split  15 /100 | epoch   1 | time: 990.64s | valid loss  1.23 | valid ppl     3.41 | learning rate 20.00
| end of split  16 /100 | epoch   1 | time: 997.35s | valid loss  1.20 | valid ppl     3.33 | learning rate 20.00
| end of split  17 /100 | epoch   1 | time: 1001.07s | valid loss  1.20 | valid ppl     3.33 | learning rate 20.00
| end of split  18 /100 | epoch   1 | time: 987.73s | valid loss  1.20 | valid ppl     3.31 | learning rate 20.00
| end of split  19 /100 | epoch   1 | time: 996.32s | valid loss  1.20 | valid ppl     3.30 | learning rate 20.00
| end of split  20 /100 | epoch   1 | time: 1004.31s | valid loss  1.20 | valid ppl     3.31 | learning rate 20.00
| end of split  21 /100 | epoch   1 | time: 1022.48s | valid loss  1.21 | valid ppl     3.37 | learning rate 20.00
| end of split  22 /100 | epoch   1 | time: 981.42s | valid loss  1.19 | valid ppl     3.27 | learning rate 20.00
| end of split  23 /100 | epoch   1 | time: 981.76s | valid loss  1.18 | valid ppl     3.26 | learning rate 20.00
| end of split  24 /100 | epoch   1 | time: 1004.36s | valid loss  1.18 | valid ppl     3.26 | learning rate 20.00
| end of split  25 /100 | epoch   1 | time: 980.68s | valid loss  1.19 | valid ppl     3.30 | learning rate 20.00
| end of split  26 /100 | epoch   1 | time: 983.56s | valid loss  1.18 | valid ppl     3.25 | learning rate 20.00
| end of split  27 /100 | epoch   1 | time: 996.12s | valid loss  1.18 | valid ppl     3.25 | learning rate 20.00
| end of split  28 /100 | epoch   1 | time: 992.91s | valid loss  1.17 | valid ppl     3.21 | learning rate 20.00
| end of split  29 /100 | epoch   1 | time: 981.15s | valid loss  1.16 | valid ppl     3.20 | learning rate 20.00
| end of split  30 /100 | epoch   1 | time: 998.47s | valid loss  1.16 | valid ppl     3.20 | learning rate 20.00
| end of split  31 /100 | epoch   1 | time: 1001.65s | valid loss  1.16 | valid ppl     3.20 | learning rate 20.00
| end of split  32 /100 | epoch   1 | time: 1007.79s | valid loss  1.16 | valid ppl     3.19 | learning rate 20.00
| end of split  33 /100 | epoch   1 | time: 1001.93s | valid loss  1.16 | valid ppl     3.18 | learning rate 20.00
| end of split  34 /100 | epoch   1 | time: 151.46s | valid loss  1.23 | valid ppl     3.42 | learning rate 20.00
| end of split  35 /100 | epoch   1 | time: 993.59s | valid loss  1.16 | valid ppl     3.18 | learning rate 20.00
| end of split  36 /100 | epoch   1 | time: 1000.23s | valid loss  1.17 | valid ppl     3.23 | learning rate 20.00
| end of split  37 /100 | epoch   1 | time: 1000.90s | valid loss  1.15 | valid ppl     3.16 | learning rate 20.00
| end of split  38 /100 | epoch   1 | time: 1003.72s | valid loss  1.15 | valid ppl     3.17 | learning rate 20.00
| end of split  39 /100 | epoch   1 | time: 978.67s | valid loss  1.15 | valid ppl     3.16 | learning rate 20.00
| end of split  40 /100 | epoch   1 | time: 982.31s | valid loss  1.18 | valid ppl     3.25 | learning rate 20.00
| end of split  41 /100 | epoch   1 | time: 978.52s | valid loss  1.15 | valid ppl     3.14 | learning rate 20.00
| end of split  42 /100 | epoch   1 | time: 997.86s | valid loss  1.14 | valid ppl     3.14 | learning rate 20.00
| end of split  43 /100 | epoch   1 | time: 1004.95s | valid loss  1.15 | valid ppl     3.16 | learning rate 20.00
| end of split  44 /100 | epoch   1 | time: 994.19s | valid loss  1.15 | valid ppl     3.15 | learning rate 20.00
| end of split  45 /100 | epoch   1 | time: 977.28s | valid loss  1.14 | valid ppl     3.14 | learning rate 20.00
| end of split  46 /100 | epoch   1 | time: 1001.62s | valid loss  1.14 | valid ppl     3.14 | learning rate 20.00
| end of split  47 /100 | epoch   1 | time: 978.63s | valid loss  1.14 | valid ppl     3.13 | learning rate 20.00
| end of split  48 /100 | epoch   1 | time: 996.64s | valid loss  1.15 | valid ppl     3.16 | learning rate 20.00
| end of split  49 /100 | epoch   1 | time: 1003.58s | valid loss  1.14 | valid ppl     3.14 | learning rate 20.00
| end of split  50 /100 | epoch   1 | time: 1002.38s | valid loss  1.14 | valid ppl     3.12 | learning rate 20.00
| end of split  51 /100 | epoch   1 | time: 995.87s | valid loss  1.13 | valid ppl     3.11 | learning rate 20.00
| end of split  52 /100 | epoch   1 | time: 997.08s | valid loss  1.14 | valid ppl     3.13 | learning rate 20.00
| end of split  53 /100 | epoch   1 | time: 1005.68s | valid loss  1.13 | valid ppl     3.10 | learning rate 20.00
| end of split  54 /100 | epoch   1 | time: 997.47s | valid loss  1.14 | valid ppl     3.14 | learning rate 20.00
| end of split  55 /100 | epoch   1 | time: 983.21s | valid loss  1.13 | valid ppl     3.10 | learning rate 20.00
| end of split  56 /100 | epoch   1 | time: 997.77s | valid loss  1.14 | valid ppl     3.11 | learning rate 20.00
| end of split  57 /100 | epoch   1 | time: 995.36s | valid loss  1.13 | valid ppl     3.10 | learning rate 20.00
| end of split  58 /100 | epoch   1 | time: 1006.19s | valid loss  1.13 | valid ppl     3.10 | learning rate 20.00
| end of split  59 /100 | epoch   1 | time: 979.06s | valid loss  1.13 | valid ppl     3.10 | learning rate 20.00
| end of split  60 /100 | epoch   1 | time: 979.54s | valid loss  1.13 | valid ppl     3.09 | learning rate 20.00
| end of split  61 /100 | epoch   1 | time: 1006.10s | valid loss  1.13 | valid ppl     3.09 | learning rate 20.00
| end of split  62 /100 | epoch   1 | time: 1004.38s | valid loss  1.13 | valid ppl     3.08 | learning rate 20.00
| end of split  63 /100 | epoch   1 | time: 979.20s | valid loss  1.13 | valid ppl     3.09 | learning rate 20.00
| end of split  64 /100 | epoch   1 | time: 1001.38s | valid loss  1.13 | valid ppl     3.08 | learning rate 20.00
| end of split  65 /100 | epoch   1 | time: 1004.89s | valid loss  1.13 | valid ppl     3.10 | learning rate 20.00
| end of split  66 /100 | epoch   1 | time: 983.63s | valid loss  1.12 | valid ppl     3.07 | learning rate 20.00
| end of split  67 /100 | epoch   1 | time: 998.07s | valid loss  1.14 | valid ppl     3.14 | learning rate 20.00
| end of split  68 /100 | epoch   1 | time: 1006.96s | valid loss  1.13 | valid ppl     3.09 | learning rate 20.00
| end of split  69 /100 | epoch   1 | time: 984.11s | valid loss  1.13 | valid ppl     3.08 | learning rate 20.00
| end of split  70 /100 | epoch   1 | time: 995.45s | valid loss  1.12 | valid ppl     3.06 | learning rate 20.00
| end of split  71 /100 | epoch   1 | time: 979.00s | valid loss  1.18 | valid ppl     3.24 | learning rate 20.00
| end of split  72 /100 | epoch   1 | time: 1007.48s | valid loss  1.12 | valid ppl     3.07 | learning rate 20.00
| end of split  73 /100 | epoch   1 | time: 999.14s | valid loss  1.12 | valid ppl     3.06 | learning rate 20.00
| end of split  74 /100 | epoch   1 | time: 989.65s | valid loss  1.12 | valid ppl     3.06 | learning rate 20.00
| end of split  75 /100 | epoch   1 | time: 996.51s | valid loss  1.12 | valid ppl     3.06 | learning rate 20.00
| end of split  76 /100 | epoch   1 | time: 1000.44s | valid loss  1.11 | valid ppl     3.05 | learning rate 20.00
| end of split  77 /100 | epoch   1 | time: 994.76s | valid loss  1.12 | valid ppl     3.05 | learning rate 20.00
