| end of split   1 /100 | epoch   1 | time: 2527.81s | valid loss  1.67 | valid ppl     5.31 | learning rate 20.00
| end of split   2 /100 | epoch   1 | time: 2527.82s | valid loss  1.44 | valid ppl     4.22 | learning rate 20.00
| end of split   3 /100 | epoch   1 | time: 2526.04s | valid loss  1.39 | valid ppl     4.00 | learning rate 20.00
| end of split   4 /100 | epoch   1 | time: 2527.35s | valid loss  1.35 | valid ppl     3.86 | learning rate 20.00
| end of split   5 /100 | epoch   1 | time: 2528.61s | valid loss  1.31 | valid ppl     3.70 | learning rate 20.00
| end of split   6 /100 | epoch   1 | time: 2529.55s | valid loss  1.29 | valid ppl     3.64 | learning rate 20.00
| end of split   7 /100 | epoch   1 | time: 2529.58s | valid loss  1.28 | valid ppl     3.59 | learning rate 20.00
| end of split   8 /100 | epoch   1 | time: 2528.15s | valid loss  1.26 | valid ppl     3.54 | learning rate 20.00
| end of split   9 /100 | epoch   1 | time: 2528.51s | valid loss  1.25 | valid ppl     3.50 | learning rate 20.00
| end of split  10 /100 | epoch   1 | time: 2528.79s | valid loss  1.24 | valid ppl     3.47 | learning rate 20.00
| end of split  11 /100 | epoch   1 | time: 2529.21s | valid loss  1.25 | valid ppl     3.48 | learning rate 20.00
| end of split  12 /100 | epoch   1 | time: 2527.89s | valid loss  1.23 | valid ppl     3.41 | learning rate 20.00
| end of split  13 /100 | epoch   1 | time: 2527.90s | valid loss  1.22 | valid ppl     3.38 | learning rate 20.00
| end of split  14 /100 | epoch   1 | time: 2526.95s | valid loss  1.22 | valid ppl     3.39 | learning rate 20.00
| end of split  15 /100 | epoch   1 | time: 2529.01s | valid loss  1.21 | valid ppl     3.35 | learning rate 20.00
| end of split  16 /100 | epoch   1 | time: 2528.58s | valid loss  1.21 | valid ppl     3.35 | learning rate 20.00
| end of split  17 /100 | epoch   1 | time: 358.57s | valid loss  1.31 | valid ppl     3.69 | learning rate 20.00
| end of split  18 /100 | epoch   1 | time: 2528.73s | valid loss  1.23 | valid ppl     3.40 | learning rate 20.00
| end of split  19 /100 | epoch   1 | time: 2530.41s | valid loss  1.19 | valid ppl     3.30 | learning rate 20.00
| end of split  20 /100 | epoch   1 | time: 2530.73s | valid loss  1.19 | valid ppl     3.29 | learning rate 20.00
| end of split  21 /100 | epoch   1 | time: 2529.96s | valid loss  1.25 | valid ppl     3.50 | learning rate 20.00
| end of split  22 /100 | epoch   1 | time: 2529.62s | valid loss  1.19 | valid ppl     3.28 | learning rate 20.00
| end of split  23 /100 | epoch   1 | time: 2530.23s | valid loss  1.18 | valid ppl     3.26 | learning rate 20.00
| end of split  24 /100 | epoch   1 | time: 2535.30s | valid loss  1.18 | valid ppl     3.24 | learning rate 20.00
| end of split  25 /100 | epoch   1 | time: 2522.86s | valid loss  1.18 | valid ppl     3.25 | learning rate 20.00
| end of split  26 /100 | epoch   1 | time: 2528.11s | valid loss  1.17 | valid ppl     3.23 | learning rate 20.00
| end of split  27 /100 | epoch   1 | time: 2528.21s | valid loss  1.17 | valid ppl     3.22 | learning rate 20.00
| end of split  28 /100 | epoch   1 | time: 2528.03s | valid loss  1.18 | valid ppl     3.25 | learning rate 20.00
| end of split  29 /100 | epoch   1 | time: 2526.37s | valid loss  1.19 | valid ppl     3.30 | learning rate 20.00
| end of split  30 /100 | epoch   1 | time: 2527.79s | valid loss  1.17 | valid ppl     3.21 | learning rate 20.00
| end of split  31 /100 | epoch   1 | time: 2527.68s | valid loss  1.16 | valid ppl     3.20 | learning rate 20.00
| end of split  32 /100 | epoch   1 | time: 2525.57s | valid loss  1.16 | valid ppl     3.19 | learning rate 20.00
| end of split  33 /100 | epoch   1 | time: 2528.34s | valid loss  1.16 | valid ppl     3.20 | learning rate 20.00
| end of split  34 /100 | epoch   1 | time: 2526.88s | valid loss  1.17 | valid ppl     3.21 | learning rate 20.00
| end of split  35 /100 | epoch   1 | time: 2527.43s | valid loss  1.15 | valid ppl     3.17 | learning rate 20.00
| end of split  36 /100 | epoch   1 | time: 2528.07s | valid loss  1.18 | valid ppl     3.24 | learning rate 20.00
| end of split  37 /100 | epoch   1 | time: 2529.67s | valid loss  1.18 | valid ppl     3.27 | learning rate 20.00
| end of split  38 /100 | epoch   1 | time: 2529.37s | valid loss  1.15 | valid ppl     3.15 | learning rate 20.00
| end of split  39 /100 | epoch   1 | time: 2530.19s | valid loss  1.15 | valid ppl     3.15 | learning rate 20.00
| end of split  40 /100 | epoch   1 | time: 2530.30s | valid loss  1.15 | valid ppl     3.17 | learning rate 20.00
| end of split  41 /100 | epoch   1 | time: 2531.46s | valid loss  1.14 | valid ppl     3.14 | learning rate 20.00
| end of split  42 /100 | epoch   1 | time: 2529.90s | valid loss  1.15 | valid ppl     3.15 | learning rate 20.00
| end of split  43 /100 | epoch   1 | time: 2529.08s | valid loss  1.17 | valid ppl     3.22 | learning rate 20.00
| end of split  44 /100 | epoch   1 | time: 2528.16s | valid loss  1.14 | valid ppl     3.14 | learning rate 20.00
| end of split  45 /100 | epoch   1 | time: 2527.47s | valid loss  1.14 | valid ppl     3.14 | learning rate 20.00
| end of split  46 /100 | epoch   1 | time: 2527.19s | valid loss  1.14 | valid ppl     3.13 | learning rate 20.00
| end of split  47 /100 | epoch   1 | time: 2526.79s | valid loss  1.14 | valid ppl     3.12 | learning rate 20.00
| end of split  48 /100 | epoch   1 | time: 2525.79s | valid loss  1.14 | valid ppl     3.11 | learning rate 20.00
| end of split  49 /100 | epoch   1 | time: 2526.79s | valid loss  1.14 | valid ppl     3.12 | learning rate 20.00
| end of split  50 /100 | epoch   1 | time: 2526.55s | valid loss  1.14 | valid ppl     3.11 | learning rate 20.00
| end of split  51 /100 | epoch   1 | time: 2526.90s | valid loss  1.14 | valid ppl     3.13 | learning rate 20.00
| end of split  52 /100 | epoch   1 | time: 2528.79s | valid loss  1.14 | valid ppl     3.11 | learning rate 20.00
| end of split  53 /100 | epoch   1 | time: 2525.05s | valid loss  1.13 | valid ppl     3.11 | learning rate 20.00
| end of split  54 /100 | epoch   1 | time: 2526.10s | valid loss  1.13 | valid ppl     3.10 | learning rate 20.00
| end of split  55 /100 | epoch   1 | time: 2524.61s | valid loss  1.14 | valid ppl     3.12 | learning rate 20.00
| end of split  56 /100 | epoch   1 | time: 2525.25s | valid loss  1.13 | valid ppl     3.10 | learning rate 20.00
| end of split  57 /100 | epoch   1 | time: 2525.22s | valid loss  1.13 | valid ppl     3.08 | learning rate 20.00
| end of split  58 /100 | epoch   1 | time: 2524.14s | valid loss  1.14 | valid ppl     3.12 | learning rate 20.00
| end of split  59 /100 | epoch   1 | time: 2524.64s | valid loss  1.13 | valid ppl     3.09 | learning rate 20.00
| end of split  60 /100 | epoch   1 | time: 2522.07s | valid loss  1.12 | valid ppl     3.08 | learning rate 20.00
| end of split  61 /100 | epoch   1 | time: 2524.57s | valid loss  1.13 | valid ppl     3.09 | learning rate 20.00
| end of split  62 /100 | epoch   1 | time: 2525.08s | valid loss  1.16 | valid ppl     3.19 | learning rate 20.00
| end of split  63 /100 | epoch   1 | time: 2523.57s | valid loss  1.12 | valid ppl     3.07 | learning rate 20.00
| end of split  64 /100 | epoch   1 | time: 2523.86s | valid loss  1.12 | valid ppl     3.08 | learning rate 20.00
| end of split  65 /100 | epoch   1 | time: 2524.71s | valid loss  1.12 | valid ppl     3.08 | learning rate 20.00
| end of split  66 /100 | epoch   1 | time: 2526.01s | valid loss  1.14 | valid ppl     3.12 | learning rate 20.00
| end of split  67 /100 | epoch   1 | time: 2527.58s | valid loss  1.12 | valid ppl     3.07 | learning rate 20.00
| end of split  68 /100 | epoch   1 | time: 2527.24s | valid loss  1.13 | valid ppl     3.08 | learning rate 20.00
| end of split  69 /100 | epoch   1 | time: 2527.71s | valid loss  1.12 | valid ppl     3.07 | learning rate 20.00
| end of split  70 /100 | epoch   1 | time: 2527.73s | valid loss  1.12 | valid ppl     3.06 | learning rate 20.00
| end of split  71 /100 | epoch   1 | time: 2527.33s | valid loss  1.12 | valid ppl     3.08 | learning rate 20.00
| end of split  72 /100 | epoch   1 | time: 2528.41s | valid loss  1.12 | valid ppl     3.06 | learning rate 20.00
| end of split  73 /100 | epoch   1 | time: 2539.99s | valid loss  1.12 | valid ppl     3.06 | learning rate 20.00
| end of split  74 /100 | epoch   1 | time: 2525.46s | valid loss  1.13 | valid ppl     3.08 | learning rate 20.00
| end of split  75 /100 | epoch   1 | time: 2526.72s | valid loss  1.12 | valid ppl     3.05 | learning rate 20.00
| end of split  76 /100 | epoch   1 | time: 2526.54s | valid loss  1.12 | valid ppl     3.05 | learning rate 20.00
| end of split  77 /100 | epoch   1 | time: 2526.12s | valid loss  1.11 | valid ppl     3.05 | learning rate 20.00
| end of split  78 /100 | epoch   1 | time: 2570.11s | valid loss  1.11 | valid ppl     3.04 | learning rate 20.00
| end of split  79 /100 | epoch   1 | time: 2525.72s | valid loss  1.12 | valid ppl     3.06 | learning rate 20.00
| end of split  80 /100 | epoch   1 | time: 2526.35s | valid loss  1.11 | valid ppl     3.04 | learning rate 20.00
| end of split  81 /100 | epoch   1 | time: 2527.56s | valid loss  1.12 | valid ppl     3.07 | learning rate 20.00
| end of split  82 /100 | epoch   1 | time: 2526.72s | valid loss  1.11 | valid ppl     3.03 | learning rate 20.00
| end of split  83 /100 | epoch   1 | time: 2527.87s | valid loss  1.11 | valid ppl     3.04 | learning rate 20.00
| end of split  84 /100 | epoch   1 | time: 2529.39s | valid loss  1.12 | valid ppl     3.07 | learning rate 20.00
| end of split  85 /100 | epoch   1 | time: 2529.39s | valid loss  1.11 | valid ppl     3.03 | learning rate 20.00
| end of split  86 /100 | epoch   1 | time: 2528.20s | valid loss  1.12 | valid ppl     3.05 | learning rate 20.00
| end of split  87 /100 | epoch   1 | time: 2528.17s | valid loss  1.11 | valid ppl     3.04 | learning rate 20.00
| end of split  88 /100 | epoch   1 | time: 2527.83s | valid loss  1.11 | valid ppl     3.03 | learning rate 20.00
| end of split  89 /100 | epoch   1 | time: 2527.94s | valid loss  1.11 | valid ppl     3.02 | learning rate 20.00
| end of split  90 /100 | epoch   1 | time: 2528.42s | valid loss  1.11 | valid ppl     3.04 | learning rate 20.00
| end of split  91 /100 | epoch   1 | time: 2529.20s | valid loss  1.11 | valid ppl     3.02 | learning rate 20.00
| end of split  92 /100 | epoch   1 | time: 2529.65s | valid loss  1.11 | valid ppl     3.03 | learning rate 20.00
| end of split  93 /100 | epoch   1 | time: 2530.60s | valid loss  1.10 | valid ppl     3.02 | learning rate 20.00
| end of split  94 /100 | epoch   1 | time: 2530.14s | valid loss  1.11 | valid ppl     3.03 | learning rate 20.00
| end of split  95 /100 | epoch   1 | time: 2528.96s | valid loss  1.11 | valid ppl     3.03 | learning rate 20.00
| end of split  96 /100 | epoch   1 | time: 2530.29s | valid loss  1.13 | valid ppl     3.09 | learning rate 20.00
| end of split  97 /100 | epoch   1 | time: 2528.54s | valid loss  1.11 | valid ppl     3.02 | learning rate 20.00
| end of split  98 /100 | epoch   1 | time: 2528.43s | valid loss  1.10 | valid ppl     3.02 | learning rate 20.00
| end of split  99 /100 | epoch   1 | time: 2528.08s | valid loss  1.11 | valid ppl     3.02 | learning rate 20.00
| end of split 100 /100 | epoch   1 | time: 2528.33s | valid loss  1.10 | valid ppl     3.01 | learning rate 20.00
| end of split   1 /100 | epoch   2 | time: 2529.07s | valid loss  1.10 | valid ppl     3.01 | learning rate 20.00
| end of split   2 /100 | epoch   2 | time: 2527.98s | valid loss  1.10 | valid ppl     3.01 | learning rate 20.00
| end of split   3 /100 | epoch   2 | time: 2528.30s | valid loss  1.10 | valid ppl     3.01 | learning rate 20.00
| end of split   4 /100 | epoch   2 | time: 2527.80s | valid loss  1.10 | valid ppl     3.01 | learning rate 20.00
| end of split   5 /100 | epoch   2 | time: 2527.85s | valid loss  1.13 | valid ppl     3.10 | learning rate 20.00
| end of split   6 /100 | epoch   2 | time: 2529.21s | valid loss  1.10 | valid ppl     3.00 | learning rate 20.00
| end of split   7 /100 | epoch   2 | time: 2525.70s | valid loss  1.10 | valid ppl     3.01 | learning rate 20.00
| end of split   8 /100 | epoch   2 | time: 2525.54s | valid loss  1.10 | valid ppl     3.00 | learning rate 20.00
| end of split   9 /100 | epoch   2 | time: 2523.66s | valid loss  1.10 | valid ppl     3.02 | learning rate 20.00
| end of split  10 /100 | epoch   2 | time: 2524.39s | valid loss  1.10 | valid ppl     3.01 | learning rate 20.00
| end of split  11 /100 | epoch   2 | time: 2523.91s | valid loss  1.10 | valid ppl     3.01 | learning rate 20.00
| end of split  12 /100 | epoch   2 | time: 2525.20s | valid loss  1.10 | valid ppl     3.00 | learning rate 20.00
| end of split  13 /100 | epoch   2 | time: 2527.68s | valid loss  1.10 | valid ppl     3.00 | learning rate 20.00
| end of split  14 /100 | epoch   2 | time: 2525.20s | valid loss  1.12 | valid ppl     3.06 | learning rate 20.00
| end of split  15 /100 | epoch   2 | time: 2527.01s | valid loss  1.10 | valid ppl     3.00 | learning rate 20.00
| end of split  16 /100 | epoch   2 | time: 2527.91s | valid loss  1.10 | valid ppl     2.99 | learning rate 20.00
| end of split  17 /100 | epoch   2 | time: 2527.29s | valid loss  1.10 | valid ppl     3.00 | learning rate 20.00
| end of split  18 /100 | epoch   2 | time: 2528.54s | valid loss  1.10 | valid ppl     3.02 | learning rate 20.00
| end of split  19 /100 | epoch   2 | time: 2530.20s | valid loss  1.10 | valid ppl     2.99 | learning rate 20.00
| end of split  20 /100 | epoch   2 | time: 2530.11s | valid loss  1.10 | valid ppl     3.02 | learning rate 20.00
| end of split  21 /100 | epoch   2 | time: 2529.21s | valid loss  1.10 | valid ppl     3.01 | learning rate 20.00
| end of split  22 /100 | epoch   2 | time: 2528.95s | valid loss  1.09 | valid ppl     2.99 | learning rate 20.00
| end of split  23 /100 | epoch   2 | time: 2528.35s | valid loss  1.10 | valid ppl     3.00 | learning rate 20.00
| end of split  24 /100 | epoch   2 | time: 2529.53s | valid loss  1.10 | valid ppl     2.99 | learning rate 20.00
| end of split  25 /100 | epoch   2 | time: 2527.07s | valid loss  1.11 | valid ppl     3.03 | learning rate 20.00
| end of split  26 /100 | epoch   2 | time: 2530.09s | valid loss  1.10 | valid ppl     3.02 | learning rate 20.00
| end of split  27 /100 | epoch   2 | time: 2529.70s | valid loss  1.09 | valid ppl     2.99 | learning rate 20.00
| end of split  28 /100 | epoch   2 | time: 2529.27s | valid loss  1.11 | valid ppl     3.04 | learning rate 20.00
| end of split  29 /100 | epoch   2 | time: 2529.57s | valid loss  1.09 | valid ppl     2.98 | learning rate 20.00
| end of split  30 /100 | epoch   2 | time: 2531.27s | valid loss  1.09 | valid ppl     2.99 | learning rate 20.00
| end of split  31 /100 | epoch   2 | time: 2530.34s | valid loss  1.09 | valid ppl     2.99 | learning rate 20.00
| end of split  32 /100 | epoch   2 | time: 2530.15s | valid loss  1.09 | valid ppl     2.99 | learning rate 20.00
| end of split  33 /100 | epoch   2 | time: 2529.76s | valid loss  1.09 | valid ppl     2.99 | learning rate 20.00
| end of split  34 /100 | epoch   2 | time: 2528.90s | valid loss  1.09 | valid ppl     2.98 | learning rate 20.00
| end of split  35 /100 | epoch   2 | time: 2532.26s | valid loss  1.09 | valid ppl     2.98 | learning rate 20.00
| end of split  36 /100 | epoch   2 | time: 2527.45s | valid loss  1.09 | valid ppl     2.98 | learning rate 20.00
| end of split  37 /100 | epoch   2 | time: 2527.76s | valid loss  1.09 | valid ppl     2.97 | learning rate 20.00
| end of split  38 /100 | epoch   2 | time: 2528.25s | valid loss  1.10 | valid ppl     3.01 | learning rate 20.00
| end of split  39 /100 | epoch   2 | time: 2527.23s | valid loss  1.09 | valid ppl     2.98 | learning rate 20.00
| end of split  40 /100 | epoch   2 | time: 2528.26s | valid loss  1.09 | valid ppl     2.98 | learning rate 20.00
| end of split  41 /100 | epoch   2 | time: 2528.70s | valid loss  1.09 | valid ppl     2.98 | learning rate 20.00
| end of split  42 /100 | epoch   2 | time: 2527.25s | valid loss  1.09 | valid ppl     2.97 | learning rate 20.00
| end of split  43 /100 | epoch   2 | time: 2526.80s | valid loss  1.10 | valid ppl     2.99 | learning rate 20.00
| end of split  44 /100 | epoch   2 | time: 2527.39s | valid loss  1.09 | valid ppl     2.98 | learning rate 20.00
| end of split  45 /100 | epoch   2 | time: 2530.00s | valid loss  1.09 | valid ppl     2.97 | learning rate 20.00
| end of split  46 /100 | epoch   2 | time: 2531.72s | valid loss  1.13 | valid ppl     3.10 | learning rate 20.00
| end of split  47 /100 | epoch   2 | time: 2534.06s | valid loss  1.09 | valid ppl     2.97 | learning rate 20.00
| end of split  48 /100 | epoch   2 | time: 2534.09s | valid loss  1.13 | valid ppl     3.10 | learning rate 20.00
| end of split  49 /100 | epoch   2 | time: 2532.68s | valid loss  1.09 | valid ppl     2.98 | learning rate 20.00
| end of split  50 /100 | epoch   2 | time: 2529.64s | valid loss  1.09 | valid ppl     2.97 | learning rate 20.00
| end of split  51 /100 | epoch   2 | time: 2529.00s | valid loss  1.09 | valid ppl     2.97 | learning rate 20.00
| end of split  52 /100 | epoch   2 | time: 359.35s | valid loss  1.13 | valid ppl     3.10 | learning rate 20.00
| end of split  53 /100 | epoch   2 | time: 2529.04s | valid loss  1.09 | valid ppl     2.97 | learning rate 20.00
| end of split  54 /100 | epoch   2 | time: 2525.51s | valid loss  1.09 | valid ppl     2.98 | learning rate 20.00
| end of split  55 /100 | epoch   2 | time: 2525.00s | valid loss  1.09 | valid ppl     2.97 | learning rate 20.00
| end of split  56 /100 | epoch   2 | time: 2524.01s | valid loss  1.09 | valid ppl     2.97 | learning rate 20.00
| end of split  57 /100 | epoch   2 | time: 2520.99s | valid loss  1.09 | valid ppl     2.97 | learning rate 20.00
| end of split  58 /100 | epoch   2 | time: 2520.84s | valid loss  1.09 | valid ppl     2.96 | learning rate 20.00
| end of split  59 /100 | epoch   2 | time: 2524.66s | valid loss  1.09 | valid ppl     2.97 | learning rate 20.00
| end of split  60 /100 | epoch   2 | time: 2527.22s | valid loss  1.09 | valid ppl     2.97 | learning rate 20.00
| end of split  61 /100 | epoch   2 | time: 2526.87s | valid loss  1.09 | valid ppl     2.96 | learning rate 20.00
| end of split  62 /100 | epoch   2 | time: 2525.20s | valid loss  1.09 | valid ppl     2.98 | learning rate 20.00
| end of split  63 /100 | epoch   2 | time: 2528.52s | valid loss  1.09 | valid ppl     2.97 | learning rate 20.00
| end of split  64 /100 | epoch   2 | time: 2528.27s | valid loss  1.09 | valid ppl     2.97 | learning rate 20.00
| end of split  65 /100 | epoch   2 | time: 2527.13s | valid loss  1.12 | valid ppl     3.06 | learning rate 20.00
| end of split  66 /100 | epoch   2 | time: 2526.72s | valid loss  1.09 | valid ppl     2.97 | learning rate 20.00
| end of split  67 /100 | epoch   2 | time: 2527.28s | valid loss  1.07 | valid ppl     2.92 | learning rate 5.00
| end of split  68 /100 | epoch   2 | time: 2527.97s | valid loss  1.07 | valid ppl     2.92 | learning rate 5.00
| end of split  69 /100 | epoch   2 | time: 2527.83s | valid loss  1.07 | valid ppl     2.92 | learning rate 5.00
| end of split  70 /100 | epoch   2 | time: 2527.26s | valid loss  1.07 | valid ppl     2.92 | learning rate 5.00
| end of split  71 /100 | epoch   2 | time: 2528.78s | valid loss  1.07 | valid ppl     2.92 | learning rate 5.00
| end of split  72 /100 | epoch   2 | time: 2530.11s | valid loss  1.07 | valid ppl     2.92 | learning rate 5.00
| end of split  73 /100 | epoch   2 | time: 2527.76s | valid loss  1.07 | valid ppl     2.91 | learning rate 5.00
| end of split  74 /100 | epoch   2 | time: 2527.47s | valid loss  1.07 | valid ppl     2.92 | learning rate 5.00
| end of split  75 /100 | epoch   2 | time: 2577.52s | valid loss  1.07 | valid ppl     2.91 | learning rate 5.00
| end of split  76 /100 | epoch   2 | time: 2527.72s | valid loss  1.07 | valid ppl     2.91 | learning rate 5.00
| end of split  77 /100 | epoch   2 | time: 2526.56s | valid loss  1.07 | valid ppl     2.91 | learning rate 5.00
| end of split  78 /100 | epoch   2 | time: 2528.27s | valid loss  1.07 | valid ppl     2.91 | learning rate 5.00
| end of split  79 /100 | epoch   2 | time: 2531.42s | valid loss  1.07 | valid ppl     2.91 | learning rate 5.00
| end of split  80 /100 | epoch   2 | time: 2530.36s | valid loss  1.07 | valid ppl     2.91 | learning rate 5.00
| end of split  81 /100 | epoch   2 | time: 2534.12s | valid loss  1.07 | valid ppl     2.91 | learning rate 5.00
| end of split  82 /100 | epoch   2 | time: 2534.86s | valid loss  1.07 | valid ppl     2.91 | learning rate 5.00
| end of split  83 /100 | epoch   2 | time: 2534.92s | valid loss  1.07 | valid ppl     2.91 | learning rate 5.00
| end of split  84 /100 | epoch   2 | time: 2530.09s | valid loss  1.07 | valid ppl     2.91 | learning rate 5.00
| end of split  85 /100 | epoch   2 | time: 2527.96s | valid loss  1.07 | valid ppl     2.91 | learning rate 5.00
| end of split  86 /100 | epoch   2 | time: 2529.07s | valid loss  1.07 | valid ppl     2.91 | learning rate 5.00
| end of split  87 /100 | epoch   2 | time: 2527.86s | valid loss  1.07 | valid ppl     2.91 | learning rate 5.00
| end of split  88 /100 | epoch   2 | time: 2531.94s | valid loss  1.07 | valid ppl     2.91 | learning rate 5.00
| end of split  89 /100 | epoch   2 | time: 2531.90s | valid loss  1.07 | valid ppl     2.90 | learning rate 5.00
| end of split  90 /100 | epoch   2 | time: 2530.66s | valid loss  1.07 | valid ppl     2.90 | learning rate 5.00
| end of split  91 /100 | epoch   2 | time: 2532.18s | valid loss  1.07 | valid ppl     2.90 | learning rate 5.00
| end of split  92 /100 | epoch   2 | time: 2529.75s | valid loss  1.07 | valid ppl     2.90 | learning rate 5.00
| end of split  93 /100 | epoch   2 | time: 2530.37s | valid loss  1.07 | valid ppl     2.90 | learning rate 5.00
| end of split  94 /100 | epoch   2 | time: 2530.94s | valid loss  1.07 | valid ppl     2.90 | learning rate 5.00
| end of split  95 /100 | epoch   2 | time: 2645.40s | valid loss  1.07 | valid ppl     2.90 | learning rate 5.00
| end of split  96 /100 | epoch   2 | time: 2529.79s | valid loss  1.06 | valid ppl     2.90 | learning rate 5.00
| end of split  97 /100 | epoch   2 | time: 2530.90s | valid loss  1.07 | valid ppl     2.90 | learning rate 5.00
| end of split  98 /100 | epoch   2 | time: 2530.71s | valid loss  1.07 | valid ppl     2.90 | learning rate 5.00
| end of split  99 /100 | epoch   2 | time: 2532.07s | valid loss  1.07 | valid ppl     2.91 | learning rate 5.00
| end of split 100 /100 | epoch   2 | time: 2533.06s | valid loss  1.06 | valid ppl     2.90 | learning rate 5.00
| end of split   1 /100 | epoch   3 | time: 2532.75s | valid loss  1.06 | valid ppl     2.90 | learning rate 5.00
| end of split   2 /100 | epoch   3 | time: 2531.95s | valid loss  1.06 | valid ppl     2.90 | learning rate 5.00
| end of split   3 /100 | epoch   3 | time: 2532.40s | valid loss  1.07 | valid ppl     2.90 | learning rate 5.00
| end of split   4 /100 | epoch   3 | time: 2534.01s | valid loss  1.06 | valid ppl     2.90 | learning rate 5.00
| end of split   5 /100 | epoch   3 | time: 2531.80s | valid loss  1.06 | valid ppl     2.90 | learning rate 5.00
| end of split   6 /100 | epoch   3 | time: 2532.56s | valid loss  1.07 | valid ppl     2.90 | learning rate 5.00
| end of split   7 /100 | epoch   3 | time: 2531.60s | valid loss  1.06 | valid ppl     2.90 | learning rate 5.00
| end of split   8 /100 | epoch   3 | time: 2530.31s | valid loss  1.06 | valid ppl     2.90 | learning rate 5.00
| end of split   9 /100 | epoch   3 | time: 2533.25s | valid loss  1.07 | valid ppl     2.91 | learning rate 5.00
| end of split  10 /100 | epoch   3 | time: 2534.30s | valid loss  1.06 | valid ppl     2.89 | learning rate 1.25
| end of split  11 /100 | epoch   3 | time: 2536.31s | valid loss  1.06 | valid ppl     2.89 | learning rate 1.25
| end of split  12 /100 | epoch   3 | time: 2542.87s | valid loss  1.06 | valid ppl     2.89 | learning rate 1.25
